configuracao,limite_P3,limite_P2,limite_P1,P4_em_RUL_maior_125,P2_em_RUL_31_75,P1_em_RUL_0_30,P1_em_RUL_maior_125,P4_em_RUL_0_30,score_criterio
B_15_45_75,15,45,75,100.0,78.55555555555556,94.19354838709677,0.0,0.0,272.7491039426523
C_20_45_75,20,45,75,100.0,78.55555555555556,94.19354838709677,0.0,0.0,272.7491039426523
D_25_50_75,25,50,75,100.0,63.66666666666667,94.19354838709677,0.0,0.0,257.86021505376345
E_20_50_75,20,50,75,100.0,63.66666666666667,94.19354838709677,0.0,0.0,257.86021505376345
A_20_50_80,20,50,80,100.0,63.888888888888886,76.12903225806451,0.0,0.0,240.0179211469534
