configuracao,faixa_RUL,quantidade,priority_medio,priority_mediano,priority_p10,priority_p25,priority_p75,priority_p90
A_50_50,RUL > 125,842,2.9969716862093154,1.7469968175622945,0.0,0.0,5.380112449120318,8.077307167624522
A_50_50,76-125,948,19.546604137902307,20.03914162737925,5.280067899456976,11.086915831825827,27.980853008124594,32.84225084343726
A_50_50,31-75,900,53.481363554599135,53.5498427749901,37.20401988226363,44.93627717609166,63.022641746600186,68.51514996309503
A_50_50,0-30,620,84.8872811864357,85.18448950831566,75.14646636809411,79.260451409818,91.00859670975387,94.68685968252001
B_60_40,RUL > 125,842,3.5963660234511785,2.0963961810747533,0.0,0.0,6.456134938944382,9.692768601149426
B_60_40,76-125,948,19.402085303035513,19.94687367649606,5.471999999999991,11.358555762818572,27.44431550766546,32.849321948346486
B_60_40,31-75,900,52.65763626551896,52.55150591822348,35.711624907885046,43.946876803718794,62.37766627105391,68.47653863957547
B_60_40,0-30,620,84.26473742372285,84.61060585620648,74.25893865413086,78.78247485998065,90.21013746227634,93.88641571364728
C_40_60,RUL > 125,842,2.397577348967453,1.3975974540498357,0.0,0.0,4.304089959296254,6.461845734099618
C_40_60,76-125,948,19.691122972769104,20.16,5.179192837906168,11.037284309674998,28.537605332317817,32.928000000000004
C_40_60,31-75,900,54.3050908436793,54.084204250338544,38.94019894400658,45.823970304998895,63.8425675327062,68.95178960483986
C_40_60,0-30,620,85.50982494914857,85.77371645136446,75.62258506650184,79.71447585249172,91.60812055769581,95.30439433180963
D_70_30,RUL > 125,842,4.195760360693042,2.445795544587212,0.0,0.0,7.532157428768445,11.308230034674331
D_70_30,76-125,948,19.257566468168715,19.59531601187123,5.491441546529681,11.0733922669511,26.993907240976675,32.50051508608178
D_70_30,31-75,900,51.833908976438785,51.78740232772232,33.983999999999995,42.62400000000001,61.85082124517339,68.17004499637297
D_70_30,0-30,620,83.64219366100998,83.98761852070932,73.302095096486,78.41760546372751,89.58127768430519,93.54715536505329
E_30_70,RUL > 125,842,1.7981830117255893,1.0481980905373767,0.0,0.0,3.228067469472191,4.846384300574713
E_30_70,76-125,948,19.8356418076359,20.104850396071484,4.928000000000005,11.118447640337285,28.92545429828453,33.567109041505255
E_30_70,31-75,900,55.12881813275948,55.10213062474233,40.29257468662762,46.365144195560106,64.30137127484045,69.62374135211367
E_30_70,0-30,620,86.13236871186143,86.41118084313639,76.28652875331304,80.1475663154179,92.31922726700506,96.02123814631591
