configuracao,peso_health_risk,peso_rul_risk,monotonia_mediana,monotonia_media,crescimento_mediana_total,crescimento_media_total,separacao_mediana_1,separacao_mediana_2,separacao_mediana_3,menor_separacao_mediana
E_30_70,0.3,0.7,True,True,85.36298275259901,84.33418570013585,19.056652305534108,34.997280228670846,31.309050218394063,19.056652305534108
C_40_60,0.4,0.6,True,True,84.37611899731463,83.1122476001811,18.762402545950163,33.92420425033855,31.68951220102592,18.762402545950163
A_50_50,0.5,0.5,True,True,83.43749269075337,81.89030950022638,18.292144809816957,33.510701147610845,31.634646733325567,18.292144809816957
B_60_40,0.6,0.4,True,True,82.51420967513172,80.66837140027167,17.85047749542131,32.604632241727415,32.059099937983,17.85047749542131
D_70_30,0.7,0.3,True,True,81.5418229761221,79.44643330031694,17.149520467284017,32.192086315851085,32.200216192987,17.149520467284017
