configuracao,faixa_RUL,quantidade,health_medio,health_mediano,health_p10,health_p25,health_p75,health_p90
A_50_30_20,RUL > 125,842,92.43057712963562,95.62791085828715,79.74472491153854,86.36126275947345,100.0,100.0
A_50_30_20,76-125,948,81.47398675026773,82.25522307817971,66.11831698614871,74.26644220280149,90.1048702330353,95.6
A_50_30_20,31-75,900,52.56662400239279,52.663166501385334,31.10631402312153,39.25812810900803,65.22288601097777,75.6
A_50_30_20,0-30,620,19.39557802226718,18.863613988263616,7.065965532210458,14.192461020185634,23.364213905620424,31.68368906733029
B_40_40_20,RUL > 125,842,91.16307225105423,94.89087246466296,76.15910817575565,83.81359062323372,100.0,100.0
B_40_40_20,76-125,948,82.02518495742751,84.29954668960318,65.36188355208928,74.19451331462655,91.36,96.16
B_40_40_20,31-75,900,55.015843558421345,54.25715019760623,32.429301662636,40.46400617439479,69.52232710251059,80.16
B_40_40_20,0-30,620,22.110594463979965,22.132585301048525,7.772841569826609,17.720120536685272,26.194134710243613,34.709943237734464
C_50_25_25,RUL > 125,842,92.12260251027128,95.6859736193488,77.9307424322292,86.06863948625947,100.0,100.0
C_50_25_25,76-125,948,81.22078525694401,82.76877016691589,65.3424117048711,74.25886819287916,90.05872126985327,95.2
C_50_25_25,31-75,900,52.0467555579553,53.37296611747059,28.759453619078425,37.86133277536008,65.81950369071977,75.49415449827708
C_50_25_25,0-30,620,17.850701975693003,16.724298618299088,6.649986233769567,12.19048190146901,21.080045264448277,31.01709952662438
D_60_25_15,RUL > 125,842,94.00605662758137,96.50600636487542,83.84538566475095,89.23977510175936,100.0,100.0
D_60_25_15,76-125,948,81.17599003643166,81.28,67.26868824882523,74.31613589707051,89.44,95.05886966537315
D_60_25_15,31-75,900,50.63727289080173,49.983816966406835,31.856385879929242,38.82282508445626,61.38109536760129,71.20662646936776
D_60_25_15,0-30,620,18.22543762712858,17.85884120667832,7.266984748917715,12.720879487778076,22.83870159267066,29.265640230043708
E_40_35_25,RUL > 125,842,90.85509763168989,94.72125635124036,75.06872581201792,83.44906692339323,100.0,100.0
E_40_35_25,76-125,948,81.77198346410378,83.89066109922659,64.21485273120612,73.99642440069996,91.27498630174179,96.16
E_40_35_25,31-75,900,54.49597511398385,55.31596830107292,30.10009315357559,39.01851397497592,69.55240077519656,79.84
E_40_35_25,0-30,620,20.565718417405783,19.998475113691015,7.145236373598284,15.610993792824134,23.839545759396763,34.042158504994376
