configuracao,peso_rul,peso_anomalia,peso_trend,monotonia_mediana,monotonia_media,queda_mediana_total,queda_media_total,separacao_mediana_1,separacao_mediana_2,separacao_mediana_3,menor_separacao_mediana
D_60_25_15,0.6,0.25,0.15,True,True,78.6471651581971,75.78061900045279,15.226006364875417,31.296183033593167,32.124975759728514,15.226006364875417
A_50_30_20,0.5,0.3,0.2,True,True,76.76429687002354,73.03499910736844,13.37268778010744,29.592056576794377,33.79955251312172,13.37268778010744
C_50_25_25,0.5,0.25,0.25,True,True,78.96167500104971,74.27190053457828,12.917203452432915,29.395804049445296,36.6486674991715,12.917203452432915
E_40_35_25,0.4,0.35,0.25,True,True,74.72278123754934,70.28937921428411,10.830595252013765,28.57469279815367,35.317493187381906,10.830595252013765
B_40_40_20,0.4,0.4,0.2,True,True,72.75828716361444,69.05247778707427,10.591325775059786,30.042396491996946,32.1245648965577,10.591325775059786
