horizonte,faixa_RUL,quantidade,slope_medio,slope_mediano,slope_desvio_padrao,taxa_tendencia_positiva,taxa_tendencia_positiva_percentual
5,RUL > 125,921,-2.5338163409337862e-06,-4.375800000000279e-06,9.811969672982107e-05,0.4755700325732899,47.55700325732899
5,76-125,969,4.471920433436522e-06,6.533600000000031e-06,0.00010036864378383611,0.5263157894736842,52.63157894736842
5,31-75,900,0.00010616615577777753,6.34261500000006e-05,0.00022969318304833566,0.68,68.0
5,0-30,620,0.0015437115115322496,0.0007646928499999884,0.002005872676571441,0.9725806451612903,97.25806451612902
