horizonte,faixa_RUL,quantidade,slope_medio,slope_mediano,slope_desvio_padrao,taxa_tendencia_positiva,taxa_tendencia_positiva_percentual
10,RUL > 125,842,-1.5260874145253194e-06,2.538272727270642e-07,6.693979580472944e-05,0.502375296912114,50.2375296912114
10,76-125,948,4.015533339726344e-06,2.060492424242314e-06,6.606397435366323e-05,0.5126582278481012,51.26582278481012
10,31-75,900,8.958608728619519e-05,4.8361762121211754e-05,0.0001829843315825381,0.7033333333333334,70.33333333333334
10,0-30,620,0.0012870283216764404,0.0006022584166666641,0.0016818028207721367,0.967741935483871,96.7741935483871
