horizonte,faixa_RUL,quantidade,slope_medio,slope_mediano,slope_desvio_padrao,taxa_tendencia_positiva,taxa_tendencia_positiva_percentual
5,RUL > 125,921,-2.5338163409337862e-06,-4.375800000000279e-06,9.811969672982107e-05,0.4755700325732899,47.55700325732899
5,76-125,969,4.471920433436522e-06,6.533600000000031e-06,0.00010036864378383611,0.5263157894736842,52.63157894736842
5,31-75,900,0.00010616615577777753,6.34261500000006e-05,0.00022969318304833566,0.68,68.0
5,0-30,620,0.0015437115115322496,0.0007646928499999884,0.002005872676571441,0.9725806451612903,97.25806451612902
10,RUL > 125,842,-1.5260874145253194e-06,2.538272727270642e-07,6.693979580472944e-05,0.502375296912114,50.2375296912114
10,76-125,948,4.015533339726344e-06,2.060492424242314e-06,6.606397435366323e-05,0.5126582278481012,51.26582278481012
10,31-75,900,8.958608728619519e-05,4.8361762121211754e-05,0.0001829843315825381,0.7033333333333334,70.33333333333334
10,0-30,620,0.0012870283216764404,0.0006022584166666641,0.0016818028207721367,0.967741935483871,96.7741935483871
20,RUL > 125,706,-1.0173107414428387e-06,-2.7993936090225783e-06,4.598566281963447e-05,0.4773371104815864,47.73371104815864
20,76-125,884,5.236576812251217e-06,2.0964981203008417e-06,4.260070364213704e-05,0.5079185520361991,50.7918552036199
20,31-75,900,6.450696058128652e-05,4.1169784586466026e-05,0.00012721176661990713,0.71,71.0
20,0-30,620,0.0009169003060059416,0.00039759600300751823,0.0012228009369579687,0.9725806451612903,97.25806451612902
