prioridade,quantidade,RUL_medio,RUL_mediano,health_medio,health_mediano,anomaly_medio,trend_medio,percentual
P1_IMEDIATA,629,15.992050874403816,15.0,17.51704927265994,17.97337429354267,61.49269927207064,98.57306886024153,19.003021148036254
P2_ALTA,664,49.352409638554214,48.0,45.35450059533372,45.93778052759686,42.191820448832196,51.91133945976174,20.060422960725074
P3_MEDIA,729,84.09190672153635,82.0,71.73245117964312,72.49433139611679,17.783343780183195,22.936522049399034,22.02416918429003
P4_BAIXA,1288,143.91847826086956,138.0,92.82196107743594,93.76,9.7265682414549,13.58301841880964,38.912386706948645
