faixa_RUL,quantidade,anomaly_score_medio,anomaly_score_mediano,anomaly_score_p75,anomaly_score_p90,taxa_acima_threshold,taxa_acima_threshold_percentual
RUL > 125,991,12.466361289876112,0.0,24.072769029340833,40.736946505355185,0.050454086781029264,5.045408678102927
76-125,979,14.770728046210206,4.218060255703981,26.987615009551334,50.01742427971892,0.10929519918283963,10.929519918283964
31-75,900,33.10780443971446,47.110072010645965,50.4890166528669,51.722024829623074,0.4811111111111111,48.11111111111111
0-30,620,60.8498355828722,54.8501906078217,63.629885127562694,87.7508266181925,0.9758064516129032,97.58064516129032
